title,pictureURLLarge,converted_price,brand,profit,ROI
"benchmade 275gy-1 adamas, black g-10 / gray cerakote cpm-cruwear (used)",https://i.ebayimg.com/00/s/MTAxN1gxNjAw/z/qekAAOSww75jve0i/$_1.JPG,246.0,benchmade,166.02,345.875
"benchmade 535bk-2 bugout 3.24"" cpm-s30v black plain drop-point folding knife",https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/iKUAAOSwFLFjo4jR/$_1.JPG,160.0,benchmade,91.2,190.0
benchmade /755 mpr (micro pocket rocket) /m390 shane sibert knife /discontinued,https://i.ebayimg.com/00/s/MTYwMFgxNTA3/z/XLkAAOSwoiJjkl9g/$_1.JPG,381.0,benchmade,283.47,590.5625
benchmade 591bk boost edc opposing bevel blade with pry tip folding knife [used],https://i.ebayimg.com/00/s/MTI4M1gxNjAw/z/ZPMAAOSwvUhjvEIS/$_1.JPG,129.99,benchmade,65.0913,135.606875
benchmade nimravus knife,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/u~YAAOSw3f5jvfQz/$_1.JPG,215.0,benchmade,139.05,289.6875
vintage benchmade  2550sbt  blue box & paperwork only   great shape  no knife,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/7rkAAOSwOJ9jrOED/$_1.JPG,14.99,benchmade,-34.9587,-72.830625
benchmade 575 s30v blade - black cf-elite handle! first production run! 145/500,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/PlsAAOSwhEFjomjX/$_1.JPG,159.99,benchmade,91.1913,189.98187500000003
rare/discontinued hk benchmade 14101bt conspiracy-fixed blade knife-w/sheath-box,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/UkgAAOSw9pVjOTrF/$_1.JPG,285.0,benchmade,199.95,416.5625
benchmade 551s30v 3.45 inch griptilian axis knife,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/sXYAAOSwF9VjrGxT/$_1.JPG,120.0,benchmade,56.40000000000001,117.5
benchmade griptilian 553sbksn-s30v pocket knife 190635,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/WHAAAOSwgC1jtyRF/$_1.JPG,120.0,benchmade,56.40000000000001,117.5
