Image,url,title,date_sold,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,price,shipping,itemID
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/0LkAAOSwG5Jiwcaa/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204025594902?nordt=true&orig_cvip=true&rt=nc,kershaw usa leek 1660st folding pocket knife - k72,"Jul 10, 2022",18.99,5.25,24.24,9.239999999999998,61.59999999999999,kershaw,15.0,$18.99,$5.25,204025594902
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/IcIAAOSwq09iwcea/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204025598435?nordt=true&orig_cvip=true&rt=nc,kershaw scallion 1620h3 folding pocket knife (2004) - k71,"Jul 10, 2022",17.99,5.25,23.24,8.239999999999998,54.93333333333332,kershaw,15.0,$17.99,$5.25,204025598435
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/hVUAAOSwvOhiwcg-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204025600290?nordt=true&orig_cvip=true&rt=nc,kershaw scallion 1620fl folding pocket knife - k70,"Jul 10, 2022",14.99,5.25,20.240000000000002,5.240000000000002,34.933333333333344,kershaw,15.0,$14.99,$5.25,204025600290
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/Cn4AAOSwagNicrSr/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204028028935?nordt=true&orig_cvip=true&rt=nc,kershaw zing 1730ss folding pocket knife - k419,"Jul 6, 2022",19.99,0.0,19.99,4.989999999999998,33.26666666666666,kershaw,15.0,$19.99,$0.00,204028028935
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/wO0AAOSwoVBirzi2/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204028376937?nordt=true&orig_cvip=true&rt=nc,kershaw scallion 1620h3 folding pocket knife (2008) - k50,"Jul 16, 2022",20.0,5.25,25.25,10.25,68.33333333333333,kershaw,15.0,$20.00,$5.25,204028376937
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/59gAAOSwVFZiplOy/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204028378440?nordt=true&orig_cvip=true&rt=nc,kershaw japan black gulch 3120 folding pocket knife - b38,"Jul 16, 2022",19.99,5.25,25.24,10.239999999999998,68.26666666666665,kershaw,15.0,$19.99,$5.25,204028378440
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/H98AAOSwtXNixOZ6/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204028382441?nordt=true&orig_cvip=true&rt=nc,kershaw rare snap on et model 1900 rdso pocket knife design by g & g hawk,"Jul 12, 2022",129.26,0.0,129.26,114.25999999999999,761.7333333333332,kershaw,15.0,$129.26,$0.00,204028382441
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/sckAAOSw6I5ixZKR/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204028933037?nordt=true&orig_cvip=true&rt=nc,kershaw clash 1605 folding pocket knife,"Aug 30, 2022",16.0,3.0,19.0,4.0,26.666666666666668,kershaw,15.0,$16.00,$3.00,204028933037
https://i.ebayimg.com/00/s/MTQwMlgxNjAw/z/RiAAAOSwK~5ix1NU/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204030670779?nordt=true&orig_cvip=true&rt=nc,"🌟kershaw 1650st ken onion vapor ii, serrated edc pocket knife, nice!","Aug 2, 2022",34.77,0.0,34.77,19.770000000000003,131.80000000000004,kershaw,15.0,$34.77,$0.00,204030670779
https://i.ebayimg.com/00/s/MTM4MlgxNjAw/z/yR0AAOSwkq1iyEmi/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204031460978?nordt=true&orig_cvip=true&rt=nc,"🌟kershaw usa 1776grybw link, assisted open edc pocket knife, very good+","Jul 8, 2022",40.0,0.0,40.0,25.0,166.66666666666669,kershaw,15.0,$40.00,$0.00,204031460978
https://i.ebayimg.com/00/s/MTU5OVgxMjAw/z/Z1oAAOSwjdhiyU5U/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204032278893?nordt=true&orig_cvip=true&rt=nc,kershaw red blur 1670rdst assisted open folding knife 2007 date stamp,"Jul 9, 2022",69.95,0.0,69.95,54.95,366.33333333333337,kershaw,15.0,$69.95,$0.00,204032278893
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/hCcAAOSwUrhiyeVo/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204032704890?nordt=true&orig_cvip=true&rt=nc,kershaw usa blur 1670tblkst folding pocket knife - k77,"Jul 16, 2022",46.0,5.25,51.25,36.25,241.66666666666666,kershaw,15.0,$46.00,$5.25,204032704890
