Image,Field4,price_in_US,shipping_,title,date_sold,shipping_cost
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$63.00,$0.00,'02 VINTAGE CASE XX SELECT TONY BOSE TB6339 WALNUT BONE SOWBELLY STOCKMAN KNIFE,"Nov 2, 2021",$2.21
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$64.95,$0.00,"Case Knives Yellow CV TrapperLock Knife 3154L SS, Linerlock, Hunter","Nov 2, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$8.50,$0.00,Case XX 059L SS Black Lockback Folding Pocket Knife USA ,"Nov 2, 2021",$4.45
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$107.50,$0.00,2003 Case XX Mid-Folding Hunter Knife Dark RED Jig XX Bone RARE SFO Made In USA ,"Nov 2, 2021",$4.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$77.00,$0.00,2009 Case XX JOHN DEERE Slimline Trapper Knife 61048 SS GREEN Jig Bone Made/USA ,"Nov 2, 2021",$5.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$54.00,$0.00,1999 CASE XX SELECT Canoe Pocket Knife 62131 SS RED Jig Bone Handles Made In USA,"Nov 2, 2021",$5.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$65.00,$0.00,Case XX 9254 Cracked Ice Trapper Knife 1992,"Nov 2, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$54.00,$0.00,"2014 Case XX USA Trapper PATRIOTIC Knife 10254 SS RED, WHITE, & BLUE Made In USA","Nov 2, 2021",$4.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$41.00,$0.00,2016 Case XX TINY TRAPPER Knife 62154 SS CARAMEL Sawcut Bone Handles Made In USA,"Nov 2, 2021",$4.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$26.00,$0.00,"1993 Case XX Bradford, PA. USA Medium Stockman Knife 73087 SS WOOD Handles USA","Nov 2, 2021",$4.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$66.00,$0.00,2016 Case XX USA CANOE Pocket Knife 62131 SS GRAY Jig Bone Handles Made In USA,"Nov 2, 2021",$4.95
