Image,title,date_sold,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTE5NFgxNjAw/z/XikAAOSwRsVismr6/$_12.JPG?set_id=880000500F,Case XX USA LT 1405L SS Pocket Knife. BLACK,"Jul 8, 2022",$16.00,$3.85
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/f4kAAOSwx7BioU7r/$_12.JPG?set_id=880000500F,CASE XX JADE BONE TRAPPER POCKET KNIFE WITH ARROWHEAD SHIELD,"Jul 10, 2022",$52.00,$9.95
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/MJ4AAOSwfHViwLjp/$_12.JPG?set_id=880000500F,Case XX Harley Davidson 6254 SS Trapper Pocket Knife,"Jul 10, 2022",$41.02,$9.85
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/z8cAAOSwqGRiwMrh/$_12.JPG?set_id=880000500F,Case XX 10 Dot 61549L SS Grey Bone Copperlock Pocket Knife,"Jul 10, 2022",$46.99,$9.45
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/jy0AAOSwTIZiwiv8/$_12.JPG?set_id=880000500F,Case XX 61749L Mini CopperLock Bone Pocket Knife,"Jul 10, 2022",$39.00,$9.10
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/hlQAAOSwAwlixJr7/$_12.JPG?set_id=880000500F,Case XX 3318 CV Stockman Yellow Pocket Knife,"Jul 12, 2022",$17.50,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/vqIAAOSwIIFixeLB/$_57.JPG?set_id=8800005007,Case XX Jack Knife,"Jul 14, 2022",$45.00,$12.65
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/5YgAAOSw1~Nixhps/$_12.JPG?set_id=880000500F,2018 Case Select Tony Bose Tribal Lock TB612010L Generation XX Knife,"Jul 13, 2022",$72.00,$8.70
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/h38AAOSwbStix3H6/$_12.JPG?set_id=880000500F,Case XX Olive Green 6111 1/2 SS Cheetah Pocket Knife,"Jul 14, 2022",$61.58,$9.10
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/P8MAAOSwQs5ix4vn/$_12.JPG?set_id=880000500F,1986 Case xx 1987 Mahoning Valley Knife Collectors Association B254 trapper #046,"Jul 15, 2022",$46.00,$5.10
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/pS8AAOSwfZRiyfva/$_12.JPG?set_id=880000500F,Case XX 1981 9 Dot 62087 SS Delrin Jack Knife,"Jul 14, 2022",$26.00,$9.45
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/NskAAOSwAdJiyg2u/$_12.JPG?set_id=880000500F,"Case XX Folding Pocket Knife , USA","Jul 16, 2022",$36.00,$6.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/CwUAAOSwtNti1Did/$_12.JPG?set_id=880000500F,Case XX Gold Stardust Kirinite Smooth 102165 Fluted Bolster Pocket Hunter Knife,"Jul 25, 2022",$71.00,$9.10
https://thumbs.ebaystatic.com/pict/1339507717506464_1.jpg,Vintage CASE XX  62009 1/2  BARLOW KNIFE  1 Dot,"May 2, 2022",$41.99,$5.10
https://thumbs.ebaystatic.com/pict/1339997817666464_1.jpg,CASE XX TRAPPER 1985 BOLD CITY KNIFE  CLUB  BLACK MARBLED,"Feb 11, 2022",$69.00,$5.99
https://thumbs.ebaystatic.com/pict/1340346553056464_1.jpg,Case xx Trapper Knife Tennessee Walking Horse Amber Bone 2001 Mint,"Mar 4, 2022",$77.50,$5.15
https://thumbs.ebaystatic.com/pict/1340355682916464_1.jpg,Case XX 1996 Coke Bottle Pocket Knife Red Bone 6225 1/2,"Mar 6, 2022",$41.00,$8.00
https://thumbs.ebaystatic.com/pict/1340375782936464_1.jpg,Case XX Grand Daddy Barlow 6143 Pocket Knife Brown 1975,"Mar 5, 2022",$42.00,$8.00
https://thumbs.ebaystatic.com/pict/1340653556536464_1.jpg,Case XX 6233 SS Pocket Knife 2013,"Apr 21, 2022",$29.00,$0.00
https://thumbs.ebaystatic.com/pict/1340872585106464_1.jpg,2013 Carhartt Case XX USA 10154LC SS Lock blade Folding Knife,"Apr 23, 2022",$53.00,$4.50
https://thumbs.ebaystatic.com/pict/1340874561336464_1.jpg,Case XX 6254SS & 6207SS Both Jigged Bone Handle Pocket Knife 2 Blades MP766,"Apr 27, 2022",$66.00,$8.95
https://thumbs.ebaystatic.com/pict/1341013152746464_1.jpg,Case XX Pen Knife 5227 Stag Handles Blade & Scissors 1996,"May 8, 2022",$82.00,$8.00
https://thumbs.ebaystatic.com/pict/1341013568486464_1.jpg,Case XX Small Congress 64052 Black Bone Pocket Knife,"May 6, 2022",$160.00,$8.00
https://thumbs.ebaystatic.com/pict/1341248181336464_1.jpg,Vintage CASE XX 6333 3 blade pocket knife,"May 27, 2022",$13.00,$5.00
https://thumbs.ebaystatic.com/pict/1341249138776464_1.jpg,Case XX Small Cigar Pocket Knife Bone Handles 1977,"May 27, 2022",$59.00,$8.00
https://thumbs.ebaystatic.com/pict/1341249251896464_1.jpg,Case XX 610096 Toothpick Pocket Knife 2002 Orange Bone Handles,"May 28, 2022",$67.00,$8.00
https://thumbs.ebaystatic.com/pict/1341291971426464_1.jpg,1965-1969 Case XX USA Trapper 6254 Bone Handle 2 Blade Pocket Knife,"May 28, 2022",$70.00,$4.50
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/SscAAOSwd3lir92-/$_12.JPG?set_id=880000500F,CASE XX 6383WHSS Splitback Whittler 3 Blade Pocket Knife (107),"Jun 26, 2022",$68.00,$6.95
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/Bb0AAOSwlnRiscGt/$_57.JPG?set_id=8800005007,#997 Yellow 2018 Case XX 3137 CV USA Sodbuster Jr. Slipjoint Knife,"Jun 29, 2022",$22.52,$0.00
https://i.ebayimg.com/00/s/ODI0WDE2MDA=/z/O8oAAOSw3jpinrWD/$_12.JPG?set_id=880000500F,"Case XX059L USA Black Locking Pocket Knife, GUC","Jul 8, 2022",$10.00,$5.00
