Image,title,title2,avg_price,avg_shipping,url
https://thumbs.ebaystatic.com/pict/1253268794026464_1.jpg,VINTAGE WWII U.S. M7 Aerial Bayonet Knife & M8A1 V.P Co Scabbard Sheath REPAIRED,,$39.99,$12.99,
https://thumbs.ebaystatic.com/pict/1253303928636464_1.jpg,Buck 379 Folding Pocket Knife-FP102,,$8.00,$4.80,
https://thumbs.ebaystatic.com/pict/1253327390026464_1.jpg,Buck 0845 Vantage Force Select Folding Pocket Knife ,,$28.23,$5.20,
https://thumbs.ebaystatic.com/pict/1253502977346464_1.jpg,Buck 703 3 Blade Stockman Folding Pockect knife,,$10.00,$4.01,
https://thumbs.ebaystatic.com/pict/1253530911706464_1.jpg,Buck 110c Folding Hunter Knife with Wood Handle & Stainless Steel Blade,,$31.00,$8.95,
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/0L8AAOSwCxliq1o2/$_12.JPG?set_id=880000500F,,Buck 385 E Toothpick Folding Pocket Knife Plain Wood & Stainless Steel Bolsters ,$11.99,$4.80,https://www.ebay.com/itm/125372911241?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/rGQAAOSw0f9iok2h/$_12.JPG?set_id=880000500F,,Buck 110 Lockback Folding Pocket Knife ,$19.50,$5.50,https://www.ebay.com/itm/125373192569?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/GjwAAOSwT9lis4~z/$_12.JPG?set_id=880000500F,,Buck Knife 284 Bantam Rare Viper Skin Discontinued Color,$18.27,$6.15,https://www.ebay.com/itm/125382369473?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/8OAAAOSw4clis50m/$_12.JPG?set_id=880000500F,,Buck Knife 284 Bantam Rare Grim Reaper  Discontinued Color 2014,$15.00,$6.30,https://www.ebay.com/itm/125382467809?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/WkcAAOSwG-pis6hY/$_12.JPG?set_id=880000500F,,Buck Knife 284 Bantam Rare Blaze Orange Camo Discontinued Color,$14.36,$6.05,https://www.ebay.com/itm/125382517196?nordt=true&orig_cvip=true&rt=nc
